Name,State,District,Party,Years_Served,FIPS_Code,CD
"Abraham, Ralph Lee",Louisiana,05,Republican,House: 2015-2021,22,2205
"Adams, Alma S.",North Carolina,12,Democratic,House: 2014-Present,37,3712
"Aderholt, Robert B.",Alabama,04,Republican,House: 1997-Present,01,0104
"Aguilar, Pete",California,33,Democratic,House: 2015-Present,06,0633
"Allen, Rick W.",Georgia,12,Republican,House: 2015-Present,13,1312
"Allred, Colin Z.",Texas,32,Democratic,House: 2019-Present,48,4832
"Amash, Justin",Michigan,03,Libertarian,House: 2011-2021,26,2603
"Amodei, Mark E.",Nevada,02,Republican,House: 2011-Present,32,3202
"Armstrong, Kelly",North Dakota,00,Republican,House: 2019-Present,38,3800
"Arrington, Jodey C.",Texas,19,Republican,House: 2017-Present,48,4819
"Axne, Cynthia",Iowa,03,Democratic,House: 2019-2023,19,1903
"Babin, Brian",Texas,36,Republican,House: 2015-Present,48,4836
"Bacon, Don",Nebraska,02,Republican,House: 2017-Present,31,3102
"Baird, James R.",Indiana,04,Republican,House: 2019-Present,18,1804
"Balderson, Troy",Ohio,12,Republican,House: 2018-Present,39,3912
"Banks, Jim",Indiana,03,Republican,House: 2017-Present,18,1803
"Barr, Andy",Kentucky,06,Republican,House: 2013-Present,21,2106
"Barragan, Nanette Diaz",California,44,Democratic,House: 2017-Present,06,0644
"Bass, Karen",California,37,Democratic,House: 2011-2022,06,0637
"Beatty, Joyce",Ohio,03,Democratic,House: 2013-Present,39,3903
"Bera, Ami",California,06,Democratic,House: 2013-Present,06,0606
"Bergman, Jack",Michigan,01,Republican,House: 2017-Present,26,2601
"Beyer, Donald S., Jr.",Virginia,08,Democratic,House: 2015-Present,51,5108
"Biggs, Andy",Arizona,05,Republican,House: 2017-Present,04,0405
"Bilirakis, Gus M.",Florida,12,Republican,House: 2007-Present,12,1212
"Bishop, Dan",North Carolina,08,Republican,House: 2019-Present,37,3708
"Bishop, Rob",Utah,01,Republican,House: 2003-2021,49,4901
"Bishop, Sanford D., Jr.",Georgia,02,Democratic,House: 1993-Present,13,1302
"Blumenauer, Earl",Oregon,03,Democratic,House: 1995-Present,41,4103
"Blunt Rochester, Lisa",Delaware,00,Democratic,House: 2017-Present,10,1000
"Bonamici, Suzanne",Oregon,01,Democratic,House: 2012-Present,41,4101
"Bost, Mike",Illinois,12,Republican,House: 2015-Present,17,1712
"Boyle, Brendan F.",Pennsylvania,02,Democratic,House: 2015-Present,42,4202
"Brady, Kevin",Texas,08,Republican,House: 1997-2023,48,4808
"Brindisi, Anthony",New York,22,Democratic,House: 2019-2021,36,3622
"Brooks, Mo",Alabama,05,Republican,House: 2011-2023,01,0105
"Brooks, Susan W.",Indiana,05,Republican,House: 2013-2021,18,1805
"Brown, Anthony G.",Maryland,04,Democratic,House: 2017-2023,24,2404
"Brownley, Julia",California,26,Democratic,House: 2013-Present,06,0626
"Buchanan, Vern",Florida,16,Republican,House: 2007-Present,12,1216
"Buck, Ken",Colorado,04,Republican,House: 2015-Present,08,0804
"Bucshon, Larry",Indiana,08,Republican,House: 2011-Present,18,1808
"Burchett, Tim",Tennessee,02,Republican,House: 2019-Present,47,4702
"Burgess, Michael C.",Texas,26,Republican,House: 2003-Present,48,4826
"Bustos, Cheri",Illinois,17,Democratic,House: 2013-2023,17,1717
"Butterfield, G. K.",North Carolina,01,Democratic,House: 2004-2022,37,3701
"Byrne, Bradley",Alabama,01,Republican,House: 2014-2021,01,0101
"Calvert, Ken",California,41,Republican,House: 1993-Present,06,0641
"Carbajal, Salud O.",California,24,Democratic,House: 2017-Present,06,0624
"Cárdenas, Tony",California,29,Democratic,House: 2013-Present,06,0629
"Carson, Andre",Indiana,07,Democratic,House: 2008-Present,18,1807
"Carter, Earl L. ""Buddy""",Georgia,01,Republican,House: 2015-Present,13,1301
"Carter, John R.",Texas,31,Republican,House: 2003-Present,48,4831
"Cartwright, Matt",Pennsylvania,08,Democratic,House: 2013-Present,42,4208
"Case, Ed",Hawaii,01,Democratic,"House: 2002-2007, 2019-Present",15,1501
"Casten, Sean",Illinois,06,Democratic,House: 2019-Present,17,1706
"Castor, Kathy",Florida,14,Democratic,House: 2007-Present,12,1214
"Castro, Joaquin",Texas,20,Democratic,House: 2013-Present,48,4820
"Chabot, Steve",Ohio,01,Republican,"House: 1995-2009, 2011-2023",39,3901
"Cheney, Liz",Wyoming,00,Republican,House: 2017-2023,56,5600
"Chu, Judy",California,28,Democratic,House: 2009-Present,06,0628
"Cicilline, David N.",Rhode Island,01,Democratic,House: 2011-2023,44,4401
"Cisneros, Gilbert Ray, Jr.",California,39,Democratic,House: 2019-2021,06,0639
"Clark, Katherine M.",Massachusetts,05,Democratic,House: 2013-Present,25,2505
"Clarke, Yvette D.",New York,09,Democratic,House: 2007-Present,36,3609
"Clay, Wm. Lacy",Missouri,01,Democratic,House: 2001-2021,29,2901
"Cleaver, Emanuel",Missouri,05,Democratic,House: 2005-Present,29,2905
"Cline, Ben",Virginia,06,Republican,House: 2019-Present,51,5106
"Cloud, Michael",Texas,27,Republican,House: 2018-Present,48,4827
"Clyburn, James E.",South Carolina,06,Democratic,House: 1993-Present,45,4506
"Cohen, Steve",Tennessee,09,Democratic,House: 2007-Present,47,4709
"Cole, Tom",Oklahoma,04,Republican,House: 2003-Present,40,4004
"Collins, Chris",New York,27,Republican,House: 2013-2019,36,3627
"Collins, Doug",Georgia,09,Republican,House: 2013-2021,13,1309
"Comer, James",Kentucky,01,Republican,House: 2016-Present,21,2101
"Conaway, K. Michael",Texas,11,Republican,House: 2005-2021,48,4811
"Connolly, Gerald E.",Virginia,11,Democratic,House: 2009-Present,51,5111
"Cook, Paul",California,08,Republican,House: 2013-2020,06,0608
"Cooper, Jim",Tennessee,05,Democratic,"House: 1983-1995, 2003-2023",47,4705
"Correa, J. Luis",California,46,Democratic,House: 2017-Present,06,0646
"Costa, Jim",California,21,Democratic,House: 2005-Present,06,0621
"Courtney, Joe",Connecticut,02,Democratic,House: 2007-Present,09,0902
"Cox, TJ",California,21,Democratic,House: 2019-2021,06,0621
"Craig, Angie",Minnesota,02,Democratic,House: 2019-Present,27,2702
"Crawford, Eric A. ""Rick""",Arkansas,01,Republican,House: 2011-Present,05,0501
"Crenshaw, Dan",Texas,02,Republican,House: 2019-Present,48,4802
"Crist, Charlie",Florida,13,Democratic,House: 2017-2022,12,1213
