,ZIP,CD,CD_TOT_RATIO,CONGRESSPERSON,STATE,CONGRESSPERSON_PARTY,COUNTY_FIPS,COUNTY_TOT_RATIO
0,00501,3601,1.0,"Zeldin, Lee M.",New York,Republican,36103,1.0
1,00601,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72001,0.8376027830487034
2,00602,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72003,0.9999193678438961
3,00603,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72005,0.9972902500127818
4,00604,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72005,1.0
5,00605,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72005,1.0
6,00606,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72093,1.0
7,00610,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72011,1.0
8,00611,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72141,1.0
9,00612,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72013,0.9936029243774275
10,00613,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72013,1.0
11,00614,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72013,1.0
12,00616,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72013,1.0
13,00617,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72017,0.901469693016784
14,00622,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72023,1.0
15,00623,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72023,0.9992145964233929
16,00624,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72111,0.9979741706761205
17,00627,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72027,1.0
18,00631,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72081,1.0
19,00637,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72121,1.0
20,00638,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72039,0.9989544436146378
21,00641,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72141,0.9692644400038063
22,00646,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72051,0.9692445125063808
23,00647,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72055,0.9922092376182526
24,00650,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72054,0.8579452799420185
25,00652,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72013,1.0
26,00653,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72055,0.995400475812847
27,00656,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72059,1.0
28,00659,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72065,0.9914736164736164
29,00660,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72067,0.9955604883462819
30,00662,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72071,0.9859630245524797
31,00664,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72073,0.9965156794425087
32,00667,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72079,0.9995706311721769
33,00669,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72081,1.0
34,00670,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72083,1.0
35,00674,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72091,0.9775286784348646
36,00676,7200,1.0,Jenniffer González-Colón,Puerto Rico,Republican,72099,0.9988877654196158
